ID,Data,Hora,Alcance,Curtidas,Cliques_no_link
1,01/05/2015,06:00,1000,33,10
2,01/05/2015,06:30,1500,50,15
3,01/05/2015,07:00,1800,60,18
4,01/05/2015,07:30,2300,77,23
5,01/05/2015,08:00,2100,70,21
6,01/05/2015,08:30,2000,67,20
7,01/05/2015,09:00,1800,60,18
8,01/05/2015,09:30,1300,43,13
9,01/05/2015,10:00,1000,33,10
10,01/05/2015,10:30,800,27,8
11,01/05/2015,11:00,500,17,5
12,01/05/2015,11:30,700,23,7
13,01/05/2015,12:00,900,30,9
14,01/05/2015,12:30,1000,33,10
15,01/05/2015,13:00,1100,37,11
16,01/05/2015,13:30,1300,43,13
17,01/05/2015,14:00,1600,53,16
18,01/05/2015,14:30,1800,60,18
19,01/05/2015,15:00,2000,67,20
20,01/05/2015,15:30,2400,80,24
21,01/05/2015,16:00,2700,90,27
22,01/05/2015,16:30,3000,100,30
23,01/05/2015,17:00,3800,127,38
24,01/05/2015,17:30,4500,150,45
25,01/05/2015,18:00,5000,167,50
26,01/05/2015,18:30,4600,153,46
27,01/05/2015,19:00,3800,127,38
28,01/05/2015,19:30,3300,110,33
29,01/05/2015,20:00,3000,100,30
30,01/05/2015,20:30,2800,93,28
31,01/05/2015,21:00,2400,80,24
32,01/05/2015,21:30,2000,67,20
33,01/05/2015,22:00,1900,63,19
34,01/05/2015,22:30,1700,57,17
35,01/05/2015,23:00,1500,50,15
36,01/05/2015,23:30,1300,43,13
37,01/05/2015,00:00,1000,33,10
38,02/05/2015,06:00,804,27,5
39,02/05/2015,06:30,884,29,6
40,02/05/2015,07:00,884,29,6
41,02/05/2015,07:30,804,27,5
42,02/05/2015,08:00,884,29,6
43,02/05/2015,08:30,965,32,6
44,02/05/2015,09:00,1045,35,7
45,02/05/2015,09:30,1045,35,7
46,02/05/2015,10:00,1126,38,8
47,02/05/2015,10:30,1286,43,9
48,02/05/2015,11:00,1447,48,10
49,02/05/2015,11:30,1769,59,12
50,02/05/2015,12:00,2010,67,13
51,02/05/2015,12:30,1769,59,12
52,02/05/2015,13:00,1367,46,9
53,02/05/2015,13:30,1286,43,9
54,02/05/2015,14:00,1286,43,9
55,02/05/2015,14:30,1608,54,11
56,02/05/2015,15:00,1769,59,12
57,02/05/2015,15:30,2090,70,14
58,02/05/2015,16:00,2332,78,16
59,02/05/2015,16:30,2573,86,17
60,02/05/2015,17:00,2814,94,19
61,02/05/2015,17:30,3216,107,21
62,02/05/2015,18:00,3698,123,25
63,02/05/2015,18:30,4020,134,27
64,02/05/2015,19:00,4422,147,29
65,02/05/2015,19:30,4744,158,32
66,02/05/2015,20:00,5146,172,34
67,02/05/2015,20:30,4985,166,33
